zone,ts,gen_p10,gen_p50,gen_p90
Z4,2025-10-30 22:00:00,485.2179877690413,496.3676431818175,518.5285456657391
Z4,2025-10-30 23:00:00,441.2107960050812,476.08662097251454,481.49583283357197
Z4,2025-10-31 00:00:00,398.34065098176563,416.3418987979913,426.8919620572967
Z4,2025-10-31 01:00:00,333.57478762604046,350.55367103620364,367.2997936713972
Z4,2025-10-31 02:00:00,383.4116744684136,404.28853004997444,421.5936613394366
Z4,2025-10-31 03:00:00,391.3189660776178,421.539100807866,425.81940046153557
Z4,2025-10-31 04:00:00,401.73742578646545,418.5226914775654,426.8919620572967
Z4,2025-10-31 05:00:00,414.1397923567845,438.5719757648535,459.1888062335297
Z4,2025-10-31 06:00:00,355.38632607575175,364.4702545455575,380.85148338940155
Z4,2025-10-31 07:00:00,464.20218675245985,490.6614627256438,518.988884026719
Z4,2025-10-31 08:00:00,527.230150379122,571.3540955885313,575.2209614631115
Z4,2025-10-31 09:00:00,613.4977955133471,639.7885516882553,638.4337541793641
Z4,2025-10-31 10:00:00,646.4914911143104,689.12219072115,707.1296136789152
Z4,2025-10-31 11:00:00,724.9022516117681,771.4832173763814,779.6981653831778
Z4,2025-10-31 12:00:00,770.4779602504826,797.0032993071795,800.7131210674166
Z4,2025-10-31 13:00:00,822.2847011947056,843.1884086324172,863.3598793409786
Z4,2025-10-31 14:00:00,679.9941204329698,693.6201113792785,705.2710737283377
Z4,2025-10-31 15:00:00,498.76018335052134,538.3379392710513,547.1086303160466
Z4,2025-10-31 16:00:00,377.8561306684119,422.1781366598915,444.81253237403854
Z4,2025-10-31 17:00:00,366.3415425748416,399.70207038090643,398.32085924547994
Z4,2025-10-31 18:00:00,279.7532249266874,283.32629952846924,291.85908008425224
Z4,2025-10-31 19:00:00,282.5179576173292,288.9193711799217,305.51516664240785
Z4,2025-10-31 20:00:00,273.87023002567014,283.07394098241315,282.5319237467403
Z4,2025-10-31 21:00:00,254.88945536220993,262.54222071388955,274.27970870237755
Z4,2025-10-31 22:00:00,186.07669189760585,199.42228155043819,208.06307462664554
Z4,2025-10-31 23:00:00,181.4083740482877,198.08120137455285,205.85851306708162
Z5,2025-10-30 00:00:00,292.74207367457427,317.68931064318224,313.80868445270545
Z5,2025-10-30 01:00:00,360.0147760423504,381.87996027191764,404.2767388515758
Z5,2025-10-30 02:00:00,278.32421650464005,291.02879744373223,289.74521932350336
Z5,2025-10-30 03:00:00,350.73478539362384,367.1911852788379,404.1106515981233
Z5,2025-10-30 04:00:00,317.5398319112362,333.4701738490247,338.59363537825374
Z5,2025-10-30 05:00:00,256.63230464638207,264.7493928391061,286.10027929494794
Z5,2025-10-30 06:00:00,249.97983844079926,259.7796680237713,261.40770012437963
Z5,2025-10-30 07:00:00,291.7394951458536,339.2445024902931,351.8025029432113
Z5,2025-10-30 08:00:00,485.99975994688845,503.35864367993446,529.7769791013742
Z5,2025-10-30 09:00:00,711.0493877643028,732.8811697653969,747.3491710335262
Z5,2025-10-30 10:00:00,790.4744739765036,830.1403561687523,851.1481777907469
Z5,2025-10-30 11:00:00,683.5581128284618,746.1112460420862,754.033964042672
Z5,2025-10-30 12:00:00,902.394728852608,945.3032935741685,954.2965537138106
Z5,2025-10-30 13:00:00,818.6237933832996,851.221935510462,873.9525822533193
Z5,2025-10-30 14:00:00,654.1655712947526,694.6942781734793,703.5918521398922
Z5,2025-10-30 15:00:00,516.1786079060794,563.8615100914752,547.699483278779
Z5,2025-10-30 16:00:00,433.3234240983285,455.57409737381636,463.82441317467527
Z5,2025-10-30 17:00:00,285.0208210376722,305.49125949372814,329.7186729969936
Z5,2025-10-30 18:00:00,197.32194155824192,212.99575956837674,213.09773744257245
Z5,2025-10-30 19:00:00,209.59262321438285,215.74755828354563,239.42626740029397
Z5,2025-10-30 20:00:00,255.45525316004705,262.51546879678517,289.7187285949331
Z5,2025-10-30 21:00:00,224.47206580838412,245.97851045650086,254.8373939447481
Z5,2025-10-30 22:00:00,169.8683614480093,179.19274700799676,183.4775263273532
Z5,2025-10-30 23:00:00,142.03860970335646,154.43372770615295,154.339225823508
Z5,2025-10-31 00:00:00,176.41436084824204,171.94253716262045,193.61201289390266
Z5,2025-10-31 01:00:00,211.5168708443486,231.92273055552815,233.9827258481564
Z5,2025-10-31 02:00:00,166.07500781386375,171.14045515978697,168.89864551369192
Z5,2025-10-31 03:00:00,148.5841001055297,154.37483590864798,165.1560051009518
Z5,2025-10-31 04:00:00,190.0502392294929,206.0120601814484,202.23065509904313
Z5,2025-10-31 05:00:00,87.39088738934832,92.97732618991083,112.61912662036907
Z5,2025-10-31 06:00:00,130.3291116901196,127.43739379247096,141.64945630894087
Z5,2025-10-31 07:00:00,242.39073256585436,269.065343016568,267.4917270069738
Z5,2025-10-31 08:00:00,439.09661112655,433.74013803667935,454.1393788643013
Z5,2025-10-31 09:00:00,578.1165735848989,567.096818221099,588.4846242086516
Z5,2025-10-31 10:00:00,606.881062415935,646.3064142869287,663.9739091356529
Z5,2025-10-31 11:00:00,768.4105965123086,808.6669217881624,807.5784549663869
Z5,2025-10-31 12:00:00,673.4869930456241,733.6687139951815,735.189647823929
Z5,2025-10-31 13:00:00,760.5749624600237,826.9378491195456,842.7596326330037
Z5,2025-10-31 14:00:00,643.7552484264583,630.7225465321576,640.3969778504842
Z5,2025-10-31 15:00:00,484.87728463245827,482.1802538827931,482.89227067691894
Z5,2025-10-31 16:00:00,383.67407466585007,406.9024255851938,400.87761499247165
Z5,2025-10-31 17:00:00,267.01354853623906,244.07458558397025,266.6175324257135
Z5,2025-10-31 18:00:00,142.4052750690411,141.77041556591607,155.1147723093332
Z5,2025-10-31 19:00:00,80.94963386166414,86.1847863757927,108.30358655198789
Z5,2025-10-31 20:00:00,112.99266667230485,116.37462407899149,133.86234652223754
Z5,2025-10-31 21:00:00,110.95221174479748,110.24053111147694,113.33664848118082
Z5,2025-10-31 22:00:00,100.61276147569,102.87925697835308,120.90381698033035
Z5,2025-10-31 23:00:00,126.74128139120155,119.8548358179293,120.51156938252328
